id	title	desc	type	difficulty	duration	category	goalKeys	states	ctaAct
act_c20	今週の気分ログから自分の傾向をまとめる	ただ記録するだけでなく、自分の特徴に言葉をつける。	app	bold	5	H	understand_my_feelings	calm	
act_d01	話せそうな人を1人だけ思い浮かべる	今すぐ連絡しなくていい。顔が浮かぶだけでOK。	social	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d02	相談したい時の言い方を1つ見る	「ちょっと聞いてほしい」など、短い言い方を確認する。	app	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d03	AIに相談の練習をする	誰かに言う前に、伝え方を少し試してみる。	app	normal	3	A	have_place_to_rely	calm|mixed	start-chat
act_d04	困った時に使えそうな場所を1つ確認する	学校、家族、保健室、相談先など候補を1つ見る。	app	easy	1	G	have_place_to_rely	calm|mixed|heavy	
act_d05	「まだ相談じゃないけど…」の言い方を試す	重く言わなくていい入り方を知っておく。	app	normal	3	F	have_place_to_rely	mixed	
act_d06	頼るのがこわい理由を1つだけ見る	何が引っかかっているかを少しだけ見てみる。	app	normal	3	F	have_place_to_rely	calm|mixed	
act_d07	連絡しやすいタイミングを考える	朝、帰り道、夜など送りやすい時間を決める。	daily	easy	1	F	have_place_to_rely	calm|mixed|heavy	
act_d08	送りやすい短文を1つ保存する	「ちょっと話したい」「少し聞いてほしい」などを持っておく。	daily	normal	3	F	have_place_to_rely	calm|mixed	
act_d09	相談したい相手の条件を考える	安心、話しやすい、責めない、など大事な条件を見る。	app	normal	3	G	have_place_to_rely	calm	
act_d10	人に言えない時の代わりの場所を確認する	AI、アプリ、相談窓口などの逃げ道を持っておく。	app	easy	1	G	have_place_to_rely	heavy	
act_d11	話したい内容を1文にしてみる	長く説明しなくても大丈夫な形にする。	daily	normal	3	F	have_place_to_rely|organize_feelings	mixed	
act_d12	助けてほしい度合いを選ぶ	聞いてほしい/一緒に考えてほしい/そばにいてほしい、などを選ぶ。	app	normal	3	F	have_place_to_rely	calm|mixed	
act_d13	相談前にAIと会話して気持ちを整える	そのまま人に行く前に、少し言葉を整える。	app	easy	3	A	have_place_to_rely|organize_feelings	calm|mixed|heavy	start-chat
act_d14	しんどい時に開く場所を1つ決める	このアプリ、メモ、連絡先など最初に開く場所を決める。	daily	easy	1	G	have_place_to_rely	calm|mixed|heavy	
act_d15	送らない前提で相談の練習を書く	送るかどうかは決めなくていい。文にするだけでよい。	daily	easy	3	F	have_place_to_rely	mixed|heavy	
act_d16	実際に送りやすい相談文を1つ完成させる	いざという時に使える短文を今のうちに用意する。	daily	bold	3	F	have_place_to_rely	calm|mixed	
act_d17	AIと「誰に頼るか」を具体的に決める	思い浮かべるだけでなく、今の自分に合う相手を絞る。	app	bold	5	F	have_place_to_rely	calm	start-chat
act_d18	相談する時に伝えたいこと3つを整理する	何を言えばいいかわからない状態を減らす。	app	bold	5	F	have_place_to_rely|organize_feelings	calm|mixed	
act_d19	今週中に「相談の入り口」だけ作る	送る、会う、話すの前に、きっかけだけ作る。	daily	bold	3	F	have_place_to_rely	calm|mixed	
act_d20	困った時の頼り先を2段階で決める	まず最初に開く場所と、次に頼る先をセットで持つ。	app	bold	5	G	have_place_to_rely	calm	
act_e03	AIにひとこと話してみる	まとまってなくてOK。今の一言だけでいい。	app	easy	1	A	not_sure_yet	calm|mixed|heavy	start-chat
act_e05	今の自分に近い選択肢を1つ選ぶ	ぴったりじゃなくても、近いもので大丈夫。	app	easy	1	H	not_sure_yet	calm|mixed|heavy	
act_e06	アプリで使いやすい場所を1つ見つける	話す、整理する、ひと息の中で合いそうなものを見る。	app	normal	3	A	not_sure_yet	calm|mixed|heavy	
act_e07	今週は1分で終わることだけやってみる	続けることを優先して、軽い行動に絞る。	daily	easy	1	G	not_sure_yet	calm|mixed|heavy	
act_e08	よかった/しんどかったを1つずつ見る	自分の反応の出方を少し知る。	daily	normal	3	H	not_sure_yet|understand_my_feelings	calm|mixed	
act_e09	困った時に何を開くか決める	迷った時の最初の一歩だけ持っておく。	daily	easy	1	G	not_sure_yet|have_place_to_rely	calm|mixed|heavy	
act_e10	今週は「続けやすさ」で選ぶ	役に立ちそうかより、やれそうかを優先する。	app	easy	1	G	not_sure_yet	calm|mixed|heavy	
act_e11	合いそうな機能を1つ試して感想を残す	使ってみて合うかどうかを確かめる。	app	bold	3	A	not_sure_yet	calm|mixed	
act_e12	AIと「今の自分に必要そうなこと」を整理する	まだわからない状態を、そのまま材料にして方向性を見つける。	app	bold	5	A	not_sure_yet	calm	start-chat
act_e13	今週のテーマ候補2つを比べて1つ選ぶ	迷ったままにせず、今週だけの方向を仮で決める。	app	bold	3	G	not_sure_yet	calm|mixed	
act_e14	自分が続けやすい条件を1つ見つける	時間帯、長さ、場所など、やりやすさの条件を知る。	daily	bold	3	H	not_sure_yet	calm|mixed|heavy	
act_e15	しんどくなった時の戻り方を決める	正解を決めるより、戻れる形を持っておく。	app	bold	3	G	not_sure_yet|have_place_to_rely	mixed|heavy	
act_f01	肩の力を少し抜く	肩を上げて、下ろすだけでもよい。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_f02	水をひと口飲む	まず体にやさしいことを1つする。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	mixed|heavy	
act_f03	座り直して深く座る	姿勢を少し整えるだけでも気分が変わることがある。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_f04	目を閉じて10秒休む	刺激を少し減らして、いったん区切る。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	heavy	
act_f05	1分だけ静かな時間をつくる	スマホや音から少し離れる。	daily	normal	1	D	reduce_overthinking|not_sure_yet	mixed|heavy	
act_f06	寝る前に画面を見る時間を少し減らす	夜に気持ちが乱れやすい時の準備として使う。	daily	normal	3	D	reduce_overthinking|have_place_to_rely	mixed	
act_f07	いる場所を見回して3つ数える	頭の中から今いる場所に意識を戻す。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	mixed|heavy	
act_f08	手を温める/さする	気持ちがふわふわする時に体に戻るきっかけ。	daily	easy	1	D	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	heavy	
act_f09	立って1回背伸びする	一度体を広げて、頭の詰まりを少しゆるめる。	daily	easy	1	D	reduce_overthinking|not_sure_yet	calm|mixed|heavy	
act_f10	少しだけ外の空気を吸う	場所を少し変えて切り替える。	daily	normal	3	D	reduce_overthinking|have_place_to_rely	mixed	
act_f11	自分に合う落ち着き方を1つ決める	呼吸、伸びる、歩く、水を飲むなど自分に効きやすいものを選ぶ。	daily	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_f12	戻りやすい身体の動きを1つ習慣にする	その場でできる身体の切り替えを決めて、使える形にする。	daily	bold	3	G	reduce_overthinking|have_place_to_rely|not_sure_yet	calm|mixed	
act_g01	しんどい時のための一言メモを持つ	「今は休んでいい」など、自分に返す言葉を1つ決める。	daily	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g02	今週しんどくなった時の逃げ道を1つ決める	このアプリ、メモ、誰か、など一番使いやすいものを決める。	app	normal	3	G	have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g03	やれた時のハードルを低く決める	「1回できたら十分」にしておく。	app	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g04	続かなかった時の戻り方を決める	できない日があっても、次どう戻るかだけ決める。	app	normal	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_g05	今週は「1回できればOK」にする	毎日ではなく、まず1回できることを目標にする。	daily	easy	1	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed|heavy	
act_g06	今の自分に合う「続け方ルール」を1つ作る	時間帯、回数、無理しない条件などを決める。	app	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm|mixed	
act_g07	うまくいかなかった時の次の一歩を先に決める	止まった時の再開を楽にする。	app	bold	3	G	organize_feelings|reduce_overthinking|understand_my_feelings|have_place_to_rely|not_sure_yet	calm	
